Name	Beruf
Abdi, Sanae	Vertrags- und Finanzmanagerin
Akbulut, Gökay	Sozialwissenschaftlerin
Abel, Valentin	Kaufmännischer Angestellter
Al-Dailami, Ali	Angestellter
Abraham, Knut	Diplomat
Al-Halak, Muhanad	Abwassermeister
Adler, Katja	Beamtin
Alabali-Radovan, Reem	Integrationsbeauftragte
Aeffner, Stephanie	Landes-Behindertenbeauftragte
Albani, Stephan	Diplom-Physiker
Ahmetovic, Adis	Angestellter
Alt, Renata	Diplom-Ingenieurin Chemie
Abdi, Sanae	Vertrags- und Finanzmanagerin
Abel, Valentin	Kaufmännischer Angestellter
Abraham, Knut	Diplomat
Adler, Katja	Beamtin
Aeffner, Stephanie	Landes-Behindertenbeauftragte
Ahmetovic, Adis	Angestellter
Akbulut, Gökay	Sozialwissenschaftlerin
Al-Dailami, Ali	Angestellter
Al-Halak, Muhanad	Abwassermeister
Alabali-Radovan, Reem	Integrationsbeauftragte
Albani, Stephan	Diplom-Physiker
Alt, Renata	Diplom-Ingenieurin Chemie
Altenkamp, Norbert	Diplom-Volkswirt
Amthor, Philipp	Jurist
Amtsberg, Luise	Islamwissenschaftlerin
Andres, Dagmar	Referentin
Annen, Niels	Politikwissenschaftler (M.I.P.P.)
Arlt, Johannes	Berufsoffizier
Aschenberg-Dugnus, Christine	Rechtsanwältin
Audretsch, Andreas	Sozialwissenschaftler
Auernhammer, Artur	Landwirtschaftsmeister, staatlich geprüfter Landwirt
Aumer, Peter	Diplom-Betriebswirt (FH)
Außendorf, Maik	IT-Unternehmer
Bacherle, Tobias	Student
Bachmann, Carolin	Wissenschaftliche Mitarbeiterin
Badum, Lisa	Politikwissenschaftlerin
Baehrens, Heike	Diakonin
Bär, Dorothee	Diplom-Politologin
Bär, Karl	Agrarökonom
Baerbock, Annalena	Völkerrechtlerin, LL.M.
Bahr, Ulrike	Hauptschullehrerin
Baldy, Daniel	Lehrer
Banaszak, Felix	Sozial- und Kulturanthropologe
Baradari, Nezahat	Fachärztin für Kinder- und Jugendmedizin
Bareiß, Thomas	Diplom-Betriebswirt (BA)
Bartol, Sören	Diplom-Politologe
Bartsch, Dr. Dietmar	Wirtschaftswissenschaftler
Bas, Bärbel	Personalmanagement-Ökonomin (VWA)
Bauer, Nicole	Diplom-Wirtschaftsingenieurin (FH)
Baum, Dr. Christina	Zahnärztin
Baumann, Dr. Bernd	Kaufmann
Bayram, Canan	Rechtsanwältin
Beck, Katharina	Unternehmensberaterin für Nachhaltigkeit
Beckamp, Roger	Rechtsanwalt
Becker, Dr. Holger	Physiker / wissenschaftlicher Leiter
Beeck, Jens	Rechtsanwalt
Benner, Lukas	Jurist
Berghahn, Jürgen	Elektroinstallateur
Berghegger, Dr. André	Jurist
Bergt, Bengt	Redakteur
Bernhard, Marc	Rechtsanwalt, MBA
Beyer, Peter	Rechtsanwalt
Biadacz, Marc	Sozialwissenschaftler (M.A.)
Bilger, Steffen	Volljurist
Birkwald, Matthias W.	Diplom-Sozialwissenschaftler
Blankenburg, Jakob	Politikwissenschaftler
Bleck, Andreas	Student
Bochmann, René	Bürokaufmann
Bodtke, Ingo	Ingenieur Fleischwirtschaft
Boehringer, Peter	Diplom-Kaufmann, Diplom-Informatiker
Boginski, Friedhelm	Lehrer
Bollmann, Gereon	Richter a. D.
Borchardt, Simone	Geschäftsbereichsleiterin Pflege
Brand (Fulda), Michael	Politikwissenschaftler (M.A.)
Brandenburg (Rhein-Neckar), Dr. Jens	Unternehmensberater
Brandenburg (Südpfalz), Mario	Wirtschaftsinformatiker (M.Sc.)
Brandes, Dirk	Verwaltungsangestellter
Brandl, Dr. Reinhard	Diplom-Wirtschaftsingenieur
Brandner, Stephan	Rechtsanwalt
Brantner, Dr. Franziska	Sozialwissenschaftlerin
Braun, Prof. Dr. Helge	Arzt
Braun, Jürgen	Kommunikationsberater
Breher, Silvia	Rechtsanwältin, Volljuristin
Brehm, Sebastian	Steuerberater 
Brehmer, Heike	Diplom-Betriebswirtin (FH)
Breilmann, Michael	Rechtsanwalt
Breymaier, Leni	Einzelhandelskauffrau
Brinkhaus, Ralph	Steuerberater
Brodesser, Dr. Carsten	Diplom-Volkswirt
Bröhr, Dr. Marlon	Zahnarzt
Brugger, Agnieszka	Studentin
Bsirske, Frank	Rentner
Bubendorfer-Licht, Sandra	Dolmetscherin
Budde, Katrin	Diplom-Ingenieurin für Arbeitsgestaltung
Bühl, Marcus	Diplom-Informatiker (M. Sc.) (FH)
Bury, Yannick	Volkswirt
Buschmann, Dr. Marco	Rechtsanwalt
Busen, Karlheinz	Bauingenieur
Bystron, Petr	Diplom-Politologe
Cademartori Dujisin, Isabel	Wirtschaftspädagogin
Castellucci, Prof. Dr. Lars	Hochschulprofessor
Christmann, Dr. Anna	Politikwissenschaftlerin
Chrupalla, Tino	selbständiger Malermeister
Connemann, Gitta	Verkäuferin, Rechtsanwältin
Coße, Jürgen	Arbeitsvermittler
Cotar, Joana	
Cronenberg, Carl-Julius	Betriebswirt
Curio, Dr. Gottfried	Diplom-Mathematiker, Diplom-Physiker
Czaja, Mario	Betriebswirt
Dahmen, Dr. Janosch	Arzt/ Medizinaldirektor a. D. 
Daldrup, Bernhard	
Damerow, Astrid	Bankkauffrau
Dağdelen, Sevim	Journalistin
Deligöz, Ekin	Diplom-Verwaltungswissenschaftlerin
Demir, Hakan	wissenschaftlicher Mitarbeiter im Deutschen Bundestag
Detzer, Dr. Sandra	Politikwissenschaftlerin
Diaby, Dr. Karamba	Diplom-Chemiker
Diedenhofen, Martin	Student
Dieren, Jan	Rechtsanwalt
Dietz, Thomas	Buchdrucker
Dilcher, Esther	Rechtsanwältin und Notarin
Dittmar, Sabine	Ärztin
Djir-Sarai, Bijan	Diplom-Kaufmann
Dobrindt, Alexander	Diplom-Soziologe
Döring, Felix	Lehrer
Domscheit-Berg, Anke	Publizistin
Donth, Michael	Diplom-Verwaltungswirt
Dröge, Katharina	Diplom-Volkswirtin
Droßmann, Falko	Oberstleutnant der Luftwaffe
Düring, Deborah	Studentin
Dürr, Christian	Diplom-Ökonom
Durz, Hansjörg	Diplom-Kaufmann
Ebner, Harald	Diplom-Agraringenieur
Echeverria, Axel	Angestellter
Eckert, Leon	Kommunalreferent
Edelhäußer, Ralph	Erster Bürgermeister
Ehrhorn, Thomas	Pilot
Eichwede, Sonja	Richterin
Emmerich, Marcel	Wissenschaftlicher Referent
Engelhard, Alexander	Müller, Diplom-Wirtschaftsingenieur (FH)
Engelhardt, Heike	Redakteurin
Englhardt-Kopf, Martina	Studiendirektorin
Erndl, Thomas	Elektroingenieur
Ernst, Klaus	Diplom-Volkswirt, Diplom-Sozialökonom
Esdar, Dr. Wiebke	Diplom-Psychologin
Esken, Saskia	Informatikerin
Espendiller, Dr. Michael	Mathematiker
Faber, Dr. Marcus	Politologe
Färber, Hermann	Landwirtschaftsmeister
Fäscher, Ariane	Pressesprecherin
Fahimi, Yasmin	Diplom-Chemikerin
Farle, Robert	Rechtsanwalt,  Steuerberater
Fechner, Dr. Johannes	
Feiler, Uwe	Diplom-Finanzwirt
Felser, Peter	Diplom-Pädagoge
Ferlemann, Enak	
Ferschl, Susanne	Chemielaborantin/Wirtschaftsmediatorin
Fester, Emilia	Regieassistentin
Fiedler, Sebastian	Kriminalbeamter
Föst, Daniel	
Franke, Dr. Edgar	Jurist
Frei, Thorsten	
Fricke, Otto	Rechtsanwalt
Friedhoff, Dietmar	Diplom-Ingenieur / Vertriebstrainer
Friedrich (Hof), Dr. Hans-Peter	Rechtsanwalt
Frieser, Michael	Rechtsanwalt
Frömming, Dr. Götz	Gymnasiallehrer
Frohnmaier, Markus	Pressesprecher
Funke, Fabian	Internationale Beziehungen (B. A.)
Funke-Kaiser, Maximilian	Betriebswirt
Gädechens, Ingo	
Gambir, Schahina	Politikwissenschaftlerin
Ganserer, Tessa	Diplom-Ingenieurin Wald- und Forstwirtschaft
Gaßner-Herz, Martin	Verwaltungsangestellter
Gastel, Matthias	
Gauland, Dr. Alexander	Publizist
Gava, Manuel	Vertriebsleiter
