Name	Biografie
Abdi, Sanae	Geboren am 7. Juli 1986 in Tetouan, Marokko Islam ledig. 2005 Abitur an der Städtischen Adolf-Reichwein-Gesamtschule in Lüdenscheid. Anschließendes Jurastudium in Marburg, Bonn und Köln. 2013 bis 2018 wissenschaftliche Mitarbeiterin in Kölner Wirtschaftskanzlei und freiberufliche Tätigkeit für Kölner Strafrechtskanzlei. Seit 2018 Projektmanagerin mit Schwerpunkt Controlling bei der Deutschen Gesellschaft für internationale Zusammenarbeit (GIZ). Seit 2008 Mitglied der Sozialdemokratischen Partei Deutschlands (SPD).  Seit 2018 Vorstandsmitglied des Ortsvereins Köln-Südstadt und der ASF (Arbeitsgemeinschaft Sozialdemokratischer Frauen). Ver.di-Mitglied.
Abel, Valentin	Geboren am 7. Februar 1991 in Künzelsau konfessionslos. 2001 bis 2010 Abitur am Ganztagsgymnasium Osterburken  2010 bis 2011 Zivildienst beim Deutschen Roten Kreuz in Gaisbach 2011 Praktikum bei der Wittenstein SE in Igersheim 2011 bis 2014 Bachelorstudium der Betriebswirtschaftslehre an der Universität Mannheim; 2013 Auslandssemester an der University of Edinburgh 2014 bis 2016 Masterstudium der Betriebswirtschaftslehre an der Universität Mannheim; 2015 Auslandssemester an der Universiteit Maastricht 2016 bis 2021 Leitender Kaufmännischer Angestellter bei der Texas Instruments Deutschland GmbH 2017 bis 2021 Landesvorsitzender der Jungen Liberalen Baden-Württemberg
Abraham, Knut	Geboren am 4. Juni 1966 in Hamburg evangelisch-lutherisch verheiratet fünf Kinder. 1985 Abitur am Hansa-Gymnasium Bergedorf. 1985 bis 1987 Soldat auf Zeit im integrierten Dienst der NATO im HQ AFCENT in Brunssum/Niederlande. Studium der Rechtswissenschaften an der Rheinischen Friedrich-Wilhelms-Universität in Bonn. Erstes Juristisches Staatsexamen am OLG Düsseldorf 1993. Referendariat am Kammergericht in Berlin. Dort Zweites Juristisches Staatsexamen 1998. 1987 bis 1996 Büroleiter von Dr. Otto v. Habsburg, MdEP, am Deutschen Bundestag in Bonn und Berlin. 1994 bis 1996 auch am Europäischen Parlament in Brüssel. Seit 1998 Angehöriger des deutschen Auswärtigen Dienstes. Zunächst als Attaché im Vorbereitungsdienst für den Höheren Dienst, Abordnung im Sommer 1999 an die Deutsche Botschaft Helsinki. Nach bestandener Laufbahnprüfung 1. Sekretär an der Deutschen Botschaft Sofia von 2000 bis 2003. 2003 bis 2005 Tätigkeit als Referent im NATO-Referat des Auswärtigen Amtes. 2005 bis 2006 Referent im Parlaments- und Kabinettsreferat des Auswärtigen Amtes. Juli 2006 bis Juli 2011 stellvertretender Leiter des Referats für Globale Fragen in der Außenpolitischen Abteilung des Bundeskanzleramts. 2011 bis 2015 Generalkonsul und Leiter der Rechts- und Konsularabteilung der Deutschen Botschaft in Washington D.C..  2015 bis 2018 Leiter des Referats für die bilateralen Beziehungen zu den Staaten Mittel-, Ost- und Südosteuropas sowie zu Zentralasien und zum Südkaukasus im Bundeskanzleramt. Seit 2018 Gesandter an der Deutschen Botschaft Warschau. Mitglied der CDU seit 1985. Seit 2007 Mitglied des Kreisvorstands der CDU Elbe-Elster. Vorsitzender des Landesfachausschusses für Bundes- und Europaangelegenheiten der CDU Brandenburg seit 2008. 2009, 2014 und 2019 Kandidat der CDU Brandenburg (Listenplatz 3) für die Wahlen zum Europäischen Parlament. 1990 bis 1998 Bundesvorsitzender der Paneuropa-Jugend Deutschland e.V., Mitglied des Präsidiums der Paneuropa-Union Deutschland e.V. Kirchenältester in der Kirche St. Laurentius in Dubro/Elbe-Elster Träger der Ehrenmedaille der Bundeswehr
Adler, Katja	Geboren am 20. Mai 1974 in Eisenhüttenstadt zwei Kinder. 1980 bis 1990 Polytechnische Oberschule, 1982bis 1984 Sportschule Frankfurt (Oder); 1990 bis 1992 Erweiterte Oberschule bzw. Gymnasium, Eisenhüttenstadt, Abitur; 1992 bis 1995 Fachhochschule für öffentliche Verwaltung, Bernau, Abschluss: Diplom-Verwaltungswirtin (FH); 1997 bis 2006 FernUniversität Gesamthochschule in Hagen (Fächer: Soziale Verhaltenswissenschaften (HF), Politikwissenschaften (NF), Rechtswissenschaften (NF)); Abschluss Magister Artium (M. A.) 1995 Landesamt für Ernährung, Landwirtschaft und Flurneuordnung, Frankfurt/Oder; 1995 bis 2002 Ministerium für Bildung, Wissenschaft und Kultur Mecklenburg Vorpommern, Abteilung Wissenschaft und Forschung, Hochschulen; 2002 bis 2011 Ministerium für Bildung, Wissenschaft, Jugend und Kultur Rheinland Pfalz, Abteilung Hochschulen und Wissenschaft, 2009 bis 2011 zugewiesen zur Stiftung Rheinland-Pfalz für Innovation; seit 2011 Ministerium für Familie, Frauen, Kultur und Integration Rheinland-Pfalz, (2011 bis 2017) Abteilung Kinder und Jugend, (seit 2017) Abteilung Verbraucherschutz; seit 2011 Vorsitzende FDP Oberursel; seit 2014 Mitglied der FDP-Fraktion der Stadtverordnetenversammlung Oberursel; 2016 bis 2021 Vorsitzende FDP-Fraktion der Stadtverordnetenversammlung Oberursel; 2016 bis 2021 Vorsitzende des Sozial- Bildungs- und Kulturausschuss Oberursel; seit 2016 Mitglied der FDP-Fraktion des Kreistages des Hochtaunuskreises, seit 2021 stellvertretende Fraktionsvorsitzende; seit 2016 Mitglied im Ausschuss für Schule, Kultur, Sport und Freizeit des Kreistages des Hochtaunuskreises, seit 2021 stellvertretende Vorsitzende des Ausschusses; 2017 bis 2019 Mitglied des Landesvorstandes der FDP Hessen (Beisitzerin); seit 2020 Mitglied des Kreisvorstandes FDP Hochtaunuskreis (Beisitzerin).
Aeffner, Stephanie	Geboren am 29. April 1976 in Donaueschingen. 1995 Abitur am Friedrich-Dessauer-Gymnasium in Frankfurt. Vier Jahre Medizinstudium ohne Abschluss. Studium der Sozialen Arbeit mit Abschluss als Dipl.-Sozialarbeiterin (FH). Zusatzausbildung zur Qualitätsmanagerin im Sozial- und Gesundheitswesen. Aushilfstätigkeit in der ambulanten Krankenpflege. Qualitätsmanagerin in einem Krankenhaus. Beraterin in der „Selbstbestimmt-Leben-Bewegung“. Lehraufträge für Sozialarbeit und Sonderpädagogik. Beauftragte der Landesregierung Baden-Württemberg für die Belange von Menschen mit Behinderungen (Landes-Behindertenbeauftragte). Langjährig bei den Grünen aktiv in Orts-, Kreis- und Landesverband u.a. im Vorstand. Parteipolitische Ämter 2016 wegen Berufung zur Landes-Behindertenbeauftragten aus Neutralitätsgründen niedergelegt. Aktiv in verschiedenen Landesarbeitsgemeinschaften der Grünen: LAG Wirtschaft, Finanzen und Soziales, LAG Behindertenpolitik, LAG Bildung und in der Bundesarbeitsgemeinschaft (BAG) Behindertenpolitik.
Ahmetovic, Adis	Geboren am 27. Juli 1993 in Hannover ledig. Oktober 2015 bis Juli 2019 Master Lehramt an Gymnasien: Politik-Wirtschaft und Germanistik; Abschluss: Master of Education; Januar 2011 bis  Dezember 2016 Stipendiat der Friedrich-Ebert-Stiftung; Oktober 2011 bis Dezember 2015 Fächerübergreifender Bachelor: Politikwissenschaft und Germanistik; Abschluss: Bachelor of Arts; Juli 2004 bis Juli 2011 Herschelschule Hannover – Ganztagsgymnasium mit Musikzweig; Abschluss nach Klasse 12: Allgemeine Hochschulreife. Seit Januar 2020 Referent für Regierungsplanung und Grundsatzfragen (Vollzeit) im Referat 106 der Niedersächsischen Staatskanzlei; Juli 2018  Januar 2020 Persönlicher Referent (Vollzeit) des Niedersächsischen Ministerpräsidenten; Januar 2016 bis Juli 2017 Büroleiter (Vollzeit) des SPD-Landesvorsitzenden Stephan Weil; Juli 2013 bis  September 2013 Studentischer Mitarbeiter bei der Bundestagsabgeordneten Kerstin Tack. seit November 2020 Vizepräsident des DRK Region Hannover e. V.; seit Januar 2020 Vorsitzender der SPD Hannover; seit 2017 Vorsitzender des Integrationsbeirates Bothfeld-Vahrenheide; seit November 2016 Bezirksratsherr im Stadtbezirk Bothfeld-Vahrenheide. Mitgliedschaften: Vorsitzender der SPD Hannover; DRK: Vize-Präsident in der Region Hannover; GEW, AWO, ASB, FES-Ehemalige e. V., SPATS e. V., Mach' meinen Kumpel nicht an! – für Gleichbehandlung, gegen Rassismus e.V..
Akbulut, Gökay	Geboren 1982 in Pinarbaşi/ Türkei; ledig. Seit 1990 in Deutschland. 2003 Abitur; Studium der Politischen Wissenschaft, Soziologie und Öffentliches Recht an der Ruprecht-Karls-Universität Heidelberg; Abschluss Magister (M.A.). Berufsberaterin für Schülerinnen und Schüler mit Migrationshintergrund, freiberufliche Dozentin; 2016 bis 2017 Referentin für Migration und Bildung bei der Rosa-Luxemburg-Stiftung. Mitglied der LINKEN seit 2006, Mitglied im Kreis- und Landesvorstand Baden-Württemberg und in der LAG Migration und Antirassismus, Frauenpolitik und Bildung. 2014 bis 2018 Stadträtin in Mannheim; Integrations- und Migrationspolitische Sprecherin der Fraktion DIE LINKE. Seit 2017 Mitglied des Bundestages. Mitglied bei der GEW, RLS, attac, Eine Welt Forum, mehr Demokratie e. V..
Alabali-Radovan, Reem	Geboren am 1. Mai 1990 in Moskau.
Albani, Stephan	Geboren am 3. Juni 1968 in Göttingen; verheiratet; drei Kinder. 1987 Abitur in Göttingen; Studium der Physik von 1989 bis 1994 in Göttingen; Diplom-Physiker. Seit 1996 geschäftsführender Gesellschafter der Hörzentrum GmbH Oldenburg; seit 2001 Geschäftsführer der HörTech gGmbH Oldenburg. Vorstandsmitglied GewiNet Kompetenzzentrum Gesundheitswirtschaft e.V. Osnabrück; Mitglied in der Gesellschaft zum Studium strukturpolitischer Fragen e.V.; Mitglied im Bundeswehr-Sozialwerk e.V.; Mitglied im Freundeskreis „Korvette  Oldenburg“ e.V. Oldenburg; Mitglied im Verband der Reservisten der Deutschen Bundeswehr e.V. Stellvertretender Vorsitzender im CDU-Kreisverband Ammerland; stellvertretender Vorsitzender im CDU-Gemeindeverband Bad Zwischenahn; stellvertretender Vorsitzender Mittelstands- und Wirtschaftsvereinigung (MIT) Landesverband Oldenburg; Vorsitzender Mittelstands- und Wirtschaftsvereinigung (MIT) Kreisverband Ammerland; Vorsitzender im Fachausschuss „Wissenschaft, Kultur, Kirche“ des CDU Landesverbandes Oldenburg; Mitglied im Landesfachausschuss „Gesundheit“ des CDU Landesverbandes Niedersachsen; Mitglied im Landesfachausschuss „Wissenschaft und Kultur“ des CDU-Landesverbandes Niedersachsen; Mitglied im Bundesfachausschuss „Bildung, Forschung und Innovationen“ der CDU-Deutschland. Seit 2013 Mitglied des Bundestages; Mitglied im Ausschuss für Bildung Forschung und Technikfolgenabschätzung; Mitglied in der Arbeitgruppe „Bildung und Forschung“ der CDU/CSU-Fraktion; Vorsitzender der Parlamentariergruppe SADC-Staaten (Afrika); Vorsitzender der Eurasien Parliamentary Group on Tuberculosis (EPGTB); Beiratsmitglied im Parlamentarischen Beirat für Bevölkerung und Entwicklung der Deutschen Stiftung Weltbevölkerung (DSW).
Al-Dailami, Ali	Geboren am 27. Dezember 1981 in Sana'a, Jemen.
Al-Halak, Muhanad	Geboren am 31. Juli 1989 in Dyala, Irak ledig. Seit 2006 im öffentlichen Dienst bei der Stadt Grafenau. Abwassermeister und Betriebsleiter. Seit 2020 Stadtrat, Kreisrat, Kreisvorsitzender und Beirat Bezirksvorstand.
Altenkamp, Norbert	Geboren am 27. Juli 1972 in Marl/Westfalen römisch-katholisch verheiratet zwei Kinder. Abitur an der Hans-Böckler-Kollegschule, Zweig Höhere Handelsschule; Bankausbildung bei der Dresdner Bank AG.; Studium der Volkswirtschaftslehre an der an der Westfälischen Wilhelms Universität in Münster. Abschluss Diplom-Volkswirt im Jahr 2000; Fraktionsreferent der CDU Kreistagsfraktion im Kreis Recklinghausen; Fachreferent für Wirtschafts- und Strukturpolitik im Büro des Landrates des Kreises Recklinghausen; Eintritt in die CDU im Jahre 1990 und Mitglied der Jungen Union seit 1991; Von 2004 bis 2017 Bürgermeister der Stadt Bad Soden am Taunus; Mitglied des Kreistages Main-Taunus, Vorsitzender des Haupt- und Finanzausschusses; Mitglied der Regionalversammlung Südhessen.
Alt, Renata	Geboren am 27. August 1965 in Skalica konfessionslos verheiratet. Arbeitete 1991 im Außenhandelsministerium in Prag (Tschechien) in der Abteilung Europa und EWG (EU). 1992 wurde sie vom Auswärtigen Amt in Prag als Diplomatin nach Deutschland entsandt - akkreditiert vom Außenminister Dr. Klaus Kinkel. Im selben Jahr war sie Wirtschaftsattaché im Generalkonsulat der Tschechoslowakischen Republik in München. 1993 war sie Wirtschaftsattaché im Generalkonsulat der Slowakischen Republik in München. Seit 1994 bis heute arbeitet Renata Alt im Consulting im Bereich Außenhandel /Außenbeziehungen. Seit 1997 ist sie zudem wissenschaftliche Beraterin im Bereich Gesundheit - Lebensmittelchemie, Ernährungswissenschaft, Biotechnologie und Biochemie. 2009 trat sie in die FDP ein. Seit 2015 ist sie Mitglied im Landevorstand der FDP BW. Sie ist Mitglied im FDP-BFA Int.Politik, Vizevorsitzende der Liberalen Frauen Baden-Württemberg und Stadträtin im Gemeinderat in Kirchheim u. Teck.
