Name	Partei	Beruf
Abdi, Sanae	SPD	Vertrags- und Finanzmanagerin
Abel, Valentin	FDP	Kaufmännischer Angestellter
Abraham, Knut	CDU/CSU	Diplomat
Adler, Katja	FDP	Beamtin
Aeffner, Stephanie	Grüne	Landes-Behindertenbeauftragte
Ahmetovic, Adis	SPD	Angestellter
Akbulut, Gökay	Die Linke	Sozialwissenschaftlerin
Alabali-Radovan, Reem	SPD	Integrationsbeauftragte
Albani, Stephan	CDU/CSU	Diplom-Physiker
Al-Dailami, Ali	Die Linke	Angestellter
Al-Halak, Muhanad	FDP	Abwassermeister
Altenkamp, Norbert	CDU/CSU	Diplom-Volkswirt
Alt, Renata	FDP	Diplom-Ingenieurin Chemie
Amthor, Philipp	CDU/CSU	Jurist
Amtsberg, Luise	Grüne	Islamwissenschaftlerin
Andres, Dagmar	SPD	Referentin
Annen, Niels	SPD	Politikwissenschaftler (M.I.P.P.)
Arlt, Johannes	SPD	Berufsoffizier
Aschenberg-Dugnus, Christine	FDP	Rechtsanwältin
Audretsch, Andreas	Grüne	Sozialwissenschaftler
Auernhammer, Artur	CDU/CSU	Landwirtschaftsmeister, staatlich geprüfter Landwirt
Aumer, Peter	CDU/CSU	Diplom-Betriebswirt (FH)
Außendorf, Maik	Grüne	IT-Unternehmer
Bacherle, Tobias	Grüne	Student
Bachmann, Carolin	AfD	Wissenschaftliche Mitarbeiterin
Badum, Lisa	Grüne	Politikwissenschaftlerin
Baehrens, Heike	SPD	Diakonin
Baerbock, Annalena	Grüne	Völkerrechtlerin, LL.M.
Bahr, Ulrike	SPD	Hauptschullehrerin
Baldy, Daniel	SPD	Lehrer
Banaszak, Felix	Grüne	Sozial- und Kulturanthropologe
Baradari, Nezahat	SPD	Fachärztin für Kinder- und Jugendmedizin
Bär, Dorothee	CDU/CSU	Diplom-Politologin
Bareiß, Thomas	CDU/CSU	Diplom-Betriebswirt (BA)
Bär, Karl	Grüne	Agrarökonom
Bartol, Sören	SPD	Diplom-Politologe
Bartsch, Dr. Dietmar	Die Linke	Wirtschaftswissenschaftler
Bas, Bärbel	SPD	Personalmanagement-Ökonomin (VWA)
Bauer, Nicole	FDP	Diplom-Wirtschaftsingenieurin (FH)
Baumann, Dr. Bernd	AfD	Kaufmann
Baum, Dr. Christina	AfD	Zahnärztin
Bayram, Canan	Grüne	Rechtsanwältin
Beckamp, Roger	AfD	Rechtsanwalt
Becker, Dr. Holger	SPD	Physiker / wissenschaftlicher Leiter
Beck, Katharina	Grüne	Unternehmensberaterin für Nachhaltigkeit
Beeck, Jens	FDP	Rechtsanwalt
Benner, Lukas	Grüne	Jurist
Berghahn, Jürgen	SPD	Elektroinstallateur
Berghegger, Dr. André	CDU/CSU	Jurist
Bergt, Bengt	SPD	Redakteur
Bernhard, Marc	AfD	Rechtsanwalt, MBA
Beyer, Peter	CDU/CSU	Rechtsanwalt
Biadacz, Marc	CDU/CSU	Sozialwissenschaftler (M.A.)
Bilger, Steffen	CDU/CSU	Volljurist
Birkwald, Matthias W.	Die Linke	Diplom-Sozialwissenschaftler
Blankenburg, Jakob	SPD	Politikwissenschaftler
Bleck, Andreas	AfD	Student
Bochmann, René	AfD	Bürokaufmann
